0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,945","2,061","2,223","2,371","2,419","2,412","2,330","2,285","2,223","2,255","2,318","2,355","2,350"
Expenses +,"1,494","1,652","1,741","1,894","1,901","1,875","1,781","1,718","1,648","1,784","1,756","1,828","1,812"
Operating Profit,451,410,482,477,517,537,549,567,575,471,562,527,538
OPM %,23%,20%,22%,20%,21%,22%,24%,25%,26%,21%,24%,22%,23%
Other Income +,27,33,31,30,29,28,32,29,33,42,49,40,45
Interest,18,15,16,19,20,19,17,17,17,16,16,23,20
Depreciation,38,39,41,43,45,46,47,47,50,48,48,49,48
Profit before tax,422,388,456,446,481,499,517,531,541,449,548,496,514
Tax %,25%,20%,27%,25%,23%,25%,28%,30%,26%,34%,24%,25%,27%
Net Profit +,317,312,333,333,372,376,374,372,402,298,415,372,376
EPS in Rs,16.92,16.60,17.70,17.72,19.74,19.95,19.83,19.74,21.28,15.78,21.93,19.67,19.85
Raw PDF,,,,,,,,,,,,,
