0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,896,"8,808","17,841","6,783","9,983","11,018","8,450","5,453","17,722","15,890","-3,359","23,920"
Cash from Investing Activity +,"-3,371","-3,779","-3,291","-4,354","-5,310","-7,391","-11,383","-14,166","-12,728","-12,565","-10,933","-13,412"
Cash from Financing Activity +,"1,409","-5,681","-14,568","-3,719","-4,015","-4,324","2,691","8,478","-4,393","-3,119","15,477","-15,810"
Net Cash Flow,"-1,066",-653,-18,"-1,290",658,-697,-243,-234,601,205,"1,185","-5,302"
