0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"96,602","97,573","114,455","108,417","109,603","107,928","111,961","95,701","111,306","114,557","113,804","99,926","110,505"
Expenses +,"94,732","94,841","126,949","109,915","107,932","103,129","102,306","87,484","109,143","109,753","111,697","97,202","104,535"
Operating Profit,"1,871","2,732","-12,495","-1,498","1,672","4,799","9,655","8,217","2,164","4,804","2,108","2,724","5,970"
OPM %,2%,3%,-11%,-1%,2%,4%,9%,9%,2%,4%,2%,3%,5%
Other Income +,550,964,340,281,289,"1,160",628,344,556,854,570,575,479
Interest,236,328,333,595,682,523,588,579,614,734,731,942,929
Depreciation,"1,025","1,083","1,094","1,081","1,110","1,044","1,364","1,240","1,338","1,611","1,476","1,522","1,510"
Profit before tax,"1,161","2,285","-13,582","-2,893",168,"4,392","8,331","6,742",768,"3,312",471,835,"4,010"
Tax %,25%,21%,-25%,-25%,-2%,27%,26%,24%,31%,14%,24%,24%,25%
Net Profit +,869,"1,795","-10,197","-2,172",172,"3,223","6,204","5,118",529,"2,843",356,631,"3,023"
EPS in Rs,4.08,8.44,-47.92,-10.21,0.81,15.15,29.16,24.05,2.49,13.36,1.67,2.97,14.21
Raw PDF,,,,,,,,,,,,,
