0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"2,033","1,786","1,912","2,208","2,161","1,939","2,144","2,233","1,365","2,148","2,330","2,636","2,251"
Expenses +,"1,523","1,624","1,478","1,826","1,723","1,721","1,659","1,790","1,549","1,651","1,698","1,857","1,757"
Operating Profit,510,162,434,382,439,218,485,443,-184,497,631,779,494
OPM %,25%,9%,23%,17%,20%,11%,23%,20%,-14%,23%,27%,30%,22%
Other Income +,217,179,347,317,252,-425,18,54,234,"5,933",56,83,129
Interest,50,74,40,52,56,59,62,58,74,83,15,12,8
Depreciation,41,42,45,46,46,47,49,50,51,52,53,55,55
Profit before tax,637,225,696,601,589,-313,392,389,-76,"6,295",618,795,559
Tax %,14%,9%,29%,30%,27%,-56%,31%,22%,-73%,27%,27%,25%,26%
Net Profit +,549,206,493,423,430,-137,272,302,-20,"4,614",454,595,414
EPS in Rs,19.44,7.29,17.46,15.00,15.26,-4.87,9.63,10.72,-0.72,163.50,16.08,21.09,14.66
Raw PDF,,,,,,,,,,,,,
