Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-03 00:00:00+05:30,51.90427164955496,55.28519136985044,51.90427164955496,54.6185302734375,763293,0.0,0.0
2020-03-04 00:00:00+05:30,54.61853059811682,54.8566235887503,50.95189999556546,51.28522872924805,867339,0.0,0.0
2020-03-05 00:00:00+05:30,51.570944746841164,52.57093461042032,50.618572756192286,52.23760223388672,625078,0.0,0.0
2020-03-06 00:00:00+05:30,50.0471481642484,50.713809294724896,49.332869160097346,50.33285903930664,540296,0.0,0.0
2020-03-09 00:00:00+05:30,48.66620423188838,49.52334042318623,44.1900590615858,45.04719161987305,1213795,0.0,0.0
2020-03-11 00:00:00+05:30,44.8567220805046,47.52336672564774,43.66625701856965,46.19004440307617,1113884,0.0,0.0
2020-03-12 00:00:00+05:30,43.85672596072151,44.71386213745648,41.71388915189463,43.95196533203125,1295721,0.0,0.0
2020-03-13 00:00:00+05:30,43.80911446120286,47.3805096618444,40.47581227393743,45.66624069213867,1113576,0.0,0.0
2020-03-16 00:00:00+05:30,45.618621353438975,45.618621353438975,40.094860713807655,43.47578430175781,1653889,0.0,0.0
2020-03-17 00:00:00+05:30,43.52339400304105,43.52339400304105,39.42819579991252,40.47580337524414,2736837,0.0,0.0
2020-03-18 00:00:00+05:30,41.90436626615978,44.475771286367184,33.094925630660285,39.9996223449707,2102371,0.0,0.0
2020-03-19 00:00:00+05:30,38.52344586466643,44.19005965854872,36.04727663025022,41.90436553955078,3384662,0.0,0.0
2020-03-20 00:00:00+05:30,41.190089669457095,48.28526191137616,40.47581065784801,44.52339172363281,1334768,0.0,0.0
2020-03-23 00:00:00+05:30,36.28536844600058,43.47577929831442,35.61871101305354,41.6662712097168,1987108,0.0,0.0
2020-03-24 00:00:00+05:30,42.85674118644645,45.04719612048485,39.71391422604257,44.1900634765625,1208172,0.0,0.0
2020-03-25 00:00:00+05:30,41.99960334415895,46.66622755262587,41.99960334415895,44.999576568603516,431279,0.0,0.0
