0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,493","1,844","2,019","3,009","2,986","2,945","3,660","4,133","5,067","5,035","5,149","5,874","5,937"
Expenses +,"1,249","1,485","1,611","2,026","2,353","2,313","2,782","2,930","3,618","4,127","4,484","4,875","4,918"
Operating Profit,244,359,408,983,633,633,879,"1,203","1,449",909,665,999,"1,019"
OPM %,16%,19%,20%,33%,21%,21%,24%,29%,29%,18%,13%,17%,17%
Other Income +,13,4,3,7,3,7,6,125,84,51,3,31,55
Interest,24,10,3,4,3,2,15,25,13,17,49,54,63
Depreciation,35,40,44,72,83,102,106,136,183,285,273,271,278
Profit before tax,198,312,363,914,550,535,765,"1,167","1,338",658,346,704,733
Tax %,21%,24%,21%,24%,22%,21%,20%,17%,18%,17%,-0%,5%,
Net Profit +,157,238,287,699,431,422,611,969,"1,097",544,347,666,630
EPS in Rs,8.35,12.64,15.20,37.06,22.84,22.38,32.42,51.42,55.79,27.65,17.64,33.91,32.03
Dividend Payout %,30%,24%,23%,11%,18%,18%,17%,19%,25%,36%,45%,32%,
