0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,19,19,19,19,19,39,39,39,39,39,39,39,39
Reserves,"1,400","1,865","2,272","2,762","3,532","4,057","4,640","4,989","5,969","6,886","7,550","8,823","9,366"
Borrowings +,"2,074","2,350","2,358","1,880","1,361",835,830,863,894,"2,443","3,254","3,037","3,063"
Other Liabilities +,495,639,665,720,843,914,921,840,"1,139","1,490","1,429","1,706","1,972"
Total Liabilities,"3,989","4,874","5,315","5,382","5,756","5,845","6,430","6,731","8,040","10,857","12,272","13,605","14,439"
Fixed Assets +,"1,278","2,329","2,415","2,858","2,849","2,849","2,786","3,277","3,334","3,986","5,349","6,284","6,368"
CWIP,946,476,634,231,110,118,585,586,856,"1,258","1,392",944,866
Investments,33,427,445,866,"1,350","1,103","1,083","1,063","1,418","1,897","2,037","2,687","2,900"
Other Assets +,"1,733","1,642","1,821","1,426","1,448","1,774","1,975","1,806","2,432","3,715","3,494","3,690","4,306"
Total Assets,"3,989","4,874","5,315","5,382","5,756","5,845","6,430","6,731","8,040","10,857","12,272","13,605","14,439"
