0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,854,62,448,"1,341","2,259","2,353","2,556","3,315","2,402","2,656","2,319","1,778"
Cash from Investing Activity +,"-1,157",221,27,-697,-844,"-1,910","-2,263","-4,277",-875,"-1,896","-2,190","-5,586"
Cash from Financing Activity +,309,-274,-448,-663,"-1,404",-451,-299,993,"-1,509",-777,-165,"3,840"
Net Cash Flow,5,10,27,-19,12,-9,-7,31,18,-17,-36,32
