0,1,2,3,4,5,6,7,8,9,10,11,12
Sales +,"6,376","7,253","6,745","6,196","6,646","6,238","6,442","6,400","6,768","6,894","7,623","8,120"
Expenses +,"5,624","5,933","5,789","5,719","6,220","5,564","5,848","5,878","6,241","6,569","7,298","7,850"
Operating Profit,753,"1,320",957,477,426,673,594,522,527,325,325,271
OPM %,12%,18%,14%,8%,6%,11%,9%,8%,8%,5%,4%,3%
Other Income +,273,44,667,103,116,116,760,120,-455,93,"1,244",102
Interest,81,87,85,89,107,106,107,107,121,140,161,181
Depreciation,283,255,266,276,300,288,292,296,339,349,406,421
Profit before tax,662,"1,022","1,273",215,135,396,955,239,-388,-70,"1,002",-230
Tax %,-61%,21%,24%,-20%,31%,10%,17%,1%,14%,-26%,28%,-27%
Net Profit +,"1,068",809,964,257,94,355,795,236,-441,-52,721,-169
EPS in Rs,15.70,11.88,14.17,3.78,1.37,5.22,11.68,3.47,-6.70,-0.79,10.95,-2.56
Raw PDF,,,,,,,,,,,,
