0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,92,92,92,93,93,131,132,132,132,132,132,133,134
Reserves,"10,030","10,736","11,091","13,778","16,138","44,658","41,828","37,560","42,816","48,484","46,823","51,982","54,869"
Borrowings +,"1,284","1,302","1,115","1,839",701,"2,969","3,311","5,158","4,223","4,384","5,352","9,729","10,622"
Other Liabilities +,"1,660","1,748","2,067","2,085","2,919","5,959","6,524","6,729","7,529","9,636","9,871","12,294","13,639"
Total Liabilities,"13,066","13,878","14,365","17,796","19,851","53,718","51,794","49,579","54,700","62,636","62,177","74,138","79,264"
Fixed Assets +,"2,072","3,548","5,188","6,963","6,887","10,817","11,232","12,234","10,966","14,858","16,220","17,105","20,418"
CWIP,"2,425","1,807",450,318,375,745,"1,567","2,793","4,033","1,743","2,926","7,131","5,100"
Investments,"6,224","5,604","5,350","7,100","8,996","35,547","31,128","27,542","33,640","38,691","33,897","39,212","41,538"
Other Assets +,"2,345","2,919","3,377","3,416","3,592","6,609","7,867","7,009","6,060","7,345","9,135","10,689","12,209"
Total Assets,"13,066","13,878","14,365","17,796","19,851","53,718","51,794","49,579","54,700","62,636","62,177","74,138","79,264"
