0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,876,"1,188","1,543","1,796","2,129","2,551","2,852","2,946","2,833","3,886","4,714","4,582","4,829"
Expenses +,695,931,"1,223","1,419","1,714","2,010","2,234","2,412","2,305","3,099","3,851","3,709","3,838"
Operating Profit,181,256,320,376,415,542,618,533,528,787,863,872,992
OPM %,21%,22%,21%,21%,19%,21%,22%,18%,19%,20%,18%,19%,21%
Other Income +,8,6,8,10,24,21,36,25,19,21,15,20,55
Interest,12,15,18,19,19,18,17,34,30,34,41,45,45
Depreciation,11,14,18,24,25,28,31,61,63,65,78,91,97
Profit before tax,166,233,293,343,395,518,606,462,453,709,758,756,905
Tax %,32%,34%,33%,33%,33%,33%,35%,26%,25%,24%,25%,25%,
Net Profit +,113,154,196,232,266,347,394,343,341,537,571,569,673
EPS in Rs,100.89,137.87,175.74,207.57,238.73,311.08,353.19,307.71,305.35,481.02,512.15,510.31,603.69
Dividend Payout %,50%,44%,41%,41%,41%,42%,97%,52%,82%,77%,49%,72%,
