0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,571,588,775,885,"1,093","1,471","1,810","1,483","1,546","2,206","2,980","3,208","3,519"
Expenses +,414,434,579,661,870,"1,196","1,395","1,088","1,112","1,681","2,321","2,566","2,976"
Operating Profit,157,154,195,225,223,275,414,395,434,526,659,642,544
OPM %,28%,26%,25%,25%,20%,19%,23%,27%,28%,24%,22%,20%,15%
Other Income +,2,9,1,6,11,15,13,3,13,13,12,15,31
Interest,51,53,62,76,90,109,131,149,107,84,117,155,179
Depreciation,49,58,83,102,112,136,158,196,192,206,215,236,258
Profit before tax,59,51,51,52,32,45,138,54,148,248,339,266,138
Tax %,29%,17%,-2%,25%,-133%,29%,32%,32%,34%,35%,30%,26%,
Net Profit +,42,43,53,39,75,32,94,37,97,160,238,198,102
EPS in Rs,734.39,739.61,913.55,676.99,"1,311.36",319.35,46.81,18.21,45.80,75.94,112.53,93.52,44.53
Dividend Payout %,1%,1%,1%,2%,1%,16%,5%,0%,0%,5%,10%,12%,
