0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,551.57,654.37,675.83,771.27,747.62,785.52,755.71,824.45,805.17,822.46,861.56,906.21,928.92
Expenses +,424.66,500.62,512.40,601.15,589.48,617.97,592.41,651.71,647.96,674.15,713.68,774.07,813.63
Operating Profit,126.91,153.75,163.43,170.12,158.14,167.55,163.30,172.74,157.21,148.31,147.88,132.14,115.29
OPM %,23.01%,23.50%,24.18%,22.06%,21.15%,21.33%,21.61%,20.95%,19.53%,18.03%,17.16%,14.58%,12.41%
Other Income +,2.01,5.31,1.31,1.74,4.61,4.43,2.94,5.31,1.60,4.76,4.17,9.22,13.12
Interest,20.18,23.76,25.40,23.28,29.63,38.60,35.58,37.26,39.03,42.75,45.85,38.28,51.86
Depreciation,52.10,54.49,53.22,54.70,53.76,53.29,58.07,56.51,58.82,62.65,61.67,64.80,68.64
Profit before tax,56.64,80.81,86.12,93.88,79.36,80.09,72.59,84.28,60.96,47.67,44.53,38.28,7.91
Tax %,34.99%,36.42%,35.46%,35.44%,35.45%,12.17%,25.49%,25.59%,25.64%,25.61%,27.46%,25.26%,33.12%
Net Profit +,36.82,51.38,55.58,60.61,51.23,70.34,54.09,62.71,45.33,35.46,32.30,28.61,5.29
EPS in Rs,17.43,24.32,26.31,28.69,24.25,33.29,25.60,29.68,21.45,16.78,13.54,11.99,2.22
Raw PDF,,,,,,,,,,,,,
