0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"25,770","26,962","37,562","38,479","35,365","32,843","32,212","31,807","34,236","32,318","33,674","32,912","34,937"
Expenses +,"21,542","23,247","33,197","36,714","35,104","32,536","29,779","28,315","30,414","28,760","29,146","29,167","32,099"
Operating Profit,"4,228","3,715","4,366","1,765",261,307,"2,433","3,491","3,823","3,558","4,528","3,745","2,838"
OPM %,16%,14%,12%,5%,1%,1%,8%,11%,11%,11%,13%,11%,8%
Other Income +,652,424,180,799,689,"1,017",268,561,812,638,372,713,"3,190"
Interest,39,46,48,68,105,90,176,172,156,193,209,190,167
Depreciation,532,546,603,619,623,643,636,750,784,"1,161","1,049",815,832
Profit before tax,"4,308","3,546","3,894","1,876",223,591,"1,889","3,130","3,694","2,842","3,642","3,453","5,029"
Tax %,24%,24%,25%,18%,-10%,-2%,25%,23%,23%,23%,25%,23%,23%
Net Profit +,"3,288","2,683","2,915","1,537",246,604,"1,412","2,405","2,843","2,177","2,724","2,672","3,867"
EPS in Rs,4.94,4.03,4.43,2.34,0.37,0.92,2.15,3.66,4.32,3.31,4.14,4.06,5.88
Raw PDF,,,,,,,,,,,,,
