0,1,2,3,4,5,6,7,8,9,10,11,12
Debtor Days,193,210,227,227,177,162,157,151,105,97,128,101
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,193,210,227,227,177,162,157,151,105,97,128,101
Working Capital Days,143,154,170,174,129,124,120,114,69,74,94,72
ROCE %,38%,27%,24%,14%,21%,25%,26%,16%,27%,27%,24%,27%
