0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,190,234,279,313,383,460,552,577,610,711,888,"1,136","1,310"
Expenses +,151,192,226,274,318,365,433,484,431,529,690,867,972
Operating Profit,40,42,53,38,65,94,119,94,180,181,198,269,338
OPM %,21%,18%,19%,12%,17%,21%,22%,16%,29%,26%,22%,24%,26%
Other Income +,9,13,9,3,8,8,20,21,14,30,33,46,60
Interest,1,1,2,3,5,5,8,11,5,3,4,4,4
Depreciation,4,3,4,4,5,6,6,18,19,15,23,26,29
Profit before tax,44,51,55,34,63,91,125,86,170,193,204,284,364
Tax %,17%,17%,22%,17%,24%,22%,23%,23%,31%,19%,18%,17%,
Net Profit +,36,42,43,28,48,71,96,66,118,156,168,237,293
EPS in Rs,20.54,23.87,3.96,2.56,3.73,5.10,6.88,4.71,8.40,11.14,12.00,16.92,20.91
Dividend Payout %,5%,10%,15%,29%,20%,19%,21%,21%,21%,20%,21%,24%,
