0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,27,26,133,280,499,692,809,"1,060",892,"1,247","1,149","1,012",931
Expenses +,26,20,121,267,462,640,728,934,759,"1,114","1,062",955,859
Operating Profit,1,6,12,13,37,52,81,126,133,133,87,57,72
OPM %,5%,22%,9%,5%,7%,7%,10%,12%,15%,11%,8%,6%,8%
Other Income +,7,-4,5,0,-27,5,10,-40,71,27,116,138,176
Interest,0,0,0,1,0,1,3,6,0,0,0,19,25
Depreciation,11,11,10,3,11,49,68,321,7,6,7,8,8
Profit before tax,-3,-9,6,10,-2,6,20,-240,196,154,196,168,215
Tax %,-32%,4%,48%,63%,-58%,-105%,13%,-17%,19%,23%,11%,9%,
Net Profit +,-2,-10,3,4,-1,13,17,-199,159,119,174,153,196
EPS in Rs,-0.18,-0.95,0.30,0.36,-0.06,1.16,1.48,-13.63,11.66,8.74,12.93,11.35,14.60
Dividend Payout %,0%,0%,0%,56%,-427%,26%,24%,0%,17%,23%,77%,106%,
