0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,364.08,361.46,323.32,284.27,286.03,255.10,247.25,238.46,262.82,263.59,239.93,222.98,204.33
Expenses +,332.08,324.98,303.17,261.12,263.09,235.13,233.38,228.18,252.16,242.04,217.37,204.67,194.62
Operating Profit,32.00,36.48,20.15,23.15,22.94,19.97,13.87,10.28,10.66,21.55,22.56,18.31,9.71
OPM %,8.79%,10.09%,6.23%,8.14%,8.02%,7.83%,5.61%,4.31%,4.06%,8.18%,9.40%,8.21%,4.75%
Other Income +,3.86,4.26,3.97,106.44,4.10,2.26,2.10,56.71,4.10,74.76,7.08,87.39,6.82
Interest,0.06,0.02,0.05,0.04,0.02,0.09,0.00,6.27,6.27,6.20,6.20,6.27,6.27
Depreciation,1.70,1.69,1.68,1.73,1.76,1.71,1.75,1.81,2.05,2.04,2.03,2.09,2.08
Profit before tax,34.10,39.03,22.39,127.82,25.26,20.43,14.22,58.91,6.44,88.07,21.41,97.34,8.18
Tax %,21.99%,25.78%,21.39%,5.56%,24.62%,19.73%,26.30%,3.75%,30.28%,8.11%,20.50%,4.21%,36.80%
Net Profit +,26.60,28.96,17.60,120.71,19.04,16.39,10.47,56.69,4.49,80.92,17.02,93.24,5.17
EPS in Rs,1.96,2.13,1.30,8.89,1.40,1.22,0.78,4.22,0.33,6.02,1.27,6.93,0.38
Raw PDF,,,,,,,,,,,,,
