0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,2,4,4,7,35,165,178,201,108,455,222,860,"1,284"
Expenses +,1,2,9,6,30,103,70,66,35,35,37,64,79
Operating Profit,1,2,-5,1,5,62,108,135,73,419,185,796,"1,204"
OPM %,46%,52%,-114%,17%,14%,38%,61%,67%,68%,92%,83%,92%,94%
Other Income +,0,-56,-43,-0,0,0,-30,-29,1,1,0,1,3
Interest,-0,0,-0,-0,1,25,89,77,0,0,0,0,0
Depreciation,0,0,0,0,0,0,1,1,1,1,1,1,1
Profit before tax,1,-54,-49,1,4,36,-12,28,72,419,184,795,"1,206"
Tax %,-0%,1%,-0%,140%,-0%,-0%,-18%,-8%,-1%,18%,23%,10%,
Net Profit +,1,-54,-49,-0,4,36,-10,30,73,345,141,714,"1,051"
EPS in Rs,0.08,-0.76,-0.64,-0.01,0.03,0.16,-0.04,0.12,0.30,1.43,0.58,2.75,4.04
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,
