0,1,2,3,4,5
Debtor Days,,,,,4
Inventory Days,,,,,420
Days Payable,,,,,284
Cash Conversion Cycle,,,,,141
Working Capital Days,,,,,194
ROCE %,,-200%,0%,0%,-9%
