0,1,2,3,4,5,6
Equity Capital,0.06,0.06,0.00,"2,931","2,931","2,931"
Reserves,-0,-0,"17,049","14,118","12,558","11,415"
Borrowings +,0,0,"1,691","3,842","6,662","6,513"
Other Liabilities +,0,0,"1,765","4,678","7,218","8,157"
Total Liabilities,0,0,"20,504","25,568","29,368","29,016"
Fixed Assets +,0,0,"1,132","1,118","20,273","20,063"
CWIP,0,0,"17,038","19,545","1,215","1,076"
Investments,0,0,0,0,0,0
Other Assets +,0,0,"2,334","4,904","7,881","7,877"
Total Assets,0,0,"20,504","25,568","29,368","29,016"
