0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"2,291","2,660","3,072","3,911","4,548","5,281","5,714","6,677","7,220","8,830","9,055","9,748","9,507"
Expenses +,"1,860","2,261","2,722","3,180","3,668","4,308","4,667","5,209","5,268","7,018","7,665","7,780","7,181"
Operating Profit,432,399,350,731,880,973,"1,048","1,468","1,951","1,812","1,389","1,968","2,326"
OPM %,19%,15%,11%,19%,19%,18%,18%,22%,27%,21%,15%,20%,24%
Other Income +,166,164,177,240,115,101,66,96,175,199,254,239,569
Interest,79,84,73,59,24,32,28,39,43,38,86,82,80
Depreciation,36,43,60,74,76,108,141,187,199,219,230,244,262
Profit before tax,482,436,395,839,894,934,944,"1,338","1,884","1,753","1,327","1,881","2,553"
Tax %,3%,-1%,7%,17%,1%,23%,15%,6%,11%,12%,15%,7%,
Net Profit +,467,440,368,700,883,716,800,"1,264","1,685","1,541","1,134","1,747","2,329"
EPS in Rs,390.40,368.17,30.75,58.56,73.86,59.87,66.90,105.75,140.93,128.90,94.88,146.13,194.78
Dividend Payout %,5%,5%,13%,22%,20%,22%,24%,24%,21%,26%,53%,27%,
