Company Name,Date,Title,Description,Sentiment Score,Sentiment,URL
EICHERMOT,2025-02-10T03:40:03Z,"Q3 Results Highlights: Apollo Hospitals, Bata, Eicher Motors, Force Motors, Indigo Paints, Eureka Forbes, Hercules to announce Q3 results","Q3 results highlights 10th February 2025: Investors and analysts will be closely watching as major companies, including Apollo Hospitals, Bata, Eicher Motors, Force Motors, Indigo Paints, and Eureka Forbes, announce their Q3 FY25 earnings today. Several other…",0.6369,Positive,https://www.thehindubusinessline.com/markets/stock-markets/q3-results-highlights-10-feb-2025-apollo-hospitals-bata-eicher-motors-force-motors-indigo-paints-eureka-forbes-hercules-q3-results/article69201400.ece
EICHERMOT,2025-02-10T01:09:23Z,"Stock Market Highlights 10 February 2025: Sensex settles at 77,311.80; Nifty drops 178.35 points to 23,381.60","Sensex, Nifty, Share Prices Highlights: Stock markets closed with losses for the fourth consecutive day on Monday with the benchmark Sensex declining by 548 points as fresh US tariff threats shook investor confidence and triggered selling in bluechip banking,…",0.743,Positive,https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-highlights-10-febuary-2025/article69199046.ece
EICHERMOT,2025-02-07T01:15:20Z,"Share Market Highlights 7 February 2025: Sensex, Nifty settle lower after RBI cuts repo rate to 6.25%; FIIs continue selling spree","Sensex, Nifty updates on 7 February 2025: Equity markets closed lower on Wednesday despite the Reserve Bank of India’s first rate cut since May 2020, as investors remained concerned about global trade tensions and continued foreign institutional investor (FII…",-0.802,Negative,https://www.thehindubusinessline.com/markets/stock-market-updates-february-7-2025/article69188765.ece
