0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,227,230,226,232,233,237,244,255,269,287,308,342,348
Expenses +,121,126,132,129,130,132,138,138,146,152,166,181,184
Operating Profit,106,104,94,103,104,104,106,117,123,135,142,160,163
OPM %,47%,45%,42%,44%,45%,44%,43%,46%,46%,47%,46%,47%,47%
Other Income +,3,3,3,6,6,6,8,8,8,9,9,10,12
Interest,2,2,2,2,2,2,2,2,2,2,2,2,2
Depreciation,12,14,12,13,14,14,14,14,15,15,14,15,16
Profit before tax,95,91,84,94,94,94,98,109,114,127,135,153,157
Tax %,24%,25%,25%,26%,24%,24%,25%,25%,25%,24%,25%,25%,25%
Net Profit +,72,68,62,70,71,72,73,81,86,97,102,115,118
EPS in Rs,14.75,13.93,12.74,14.22,14.49,14.61,14.94,16.57,17.41,19.73,20.71,23.38,23.87
Raw PDF,,,,,,,,,,,,,
