0,1,2,3,4,5,6,7,8,9,10,11,12
Sales +,386,"1,642","1,331","1,611","1,961","3,146","2,894","2,145","3,291","4,398","4,570","4,563"
Expenses +,334,"1,507","1,230","1,464","1,764","2,724","2,549","1,943","2,862","3,776","3,857","3,832"
Operating Profit,52,135,101,147,196,423,345,202,429,622,713,732
OPM %,14%,8%,8%,9%,10%,13%,12%,9%,13%,14%,16%,16%
Other Income +,6,20,6,12,5,-102,44,20,5,159,150,173
Interest,4,16,3,9,11,7,14,12,12,13,11,12
Depreciation,28,69,54,71,76,102,113,108,119,133,136,144
Profit before tax,27,70,50,79,115,212,264,102,302,633,717,749
Tax %,33%,-11%,37%,35%,40%,56%,35%,27%,63%,19%,22%,22%
Net Profit +,18,78,31,52,69,94,172,74,110,512,562,583
EPS in Rs,1.95,2.40,0.97,1.36,1.83,2.48,4.55,1.95,2.91,13.50,14.82,15.38
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,86%,19%,34%,46%
