0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,44,116,97,136,152,215,397,308,275,478,695,664
Cash from Investing Activity +,-80,-52,-66,-708,-78,-206,-398,-252,-375,-304,-427,-364
Cash from Financing Activity +,41,-89,-11,560,-63,5,0,-26,68,-172,-164,-284
Net Cash Flow,4,-25,20,-13,11,14,-1,30,-32,2,104,16
