0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,950,987,914,980,986,"1,091",964,"1,010","1,024","1,104","1,002","1,062","1,050"
Expenses +,791,842,777,861,870,948,828,864,881,968,868,924,929
Operating Profit,159,145,137,118,117,143,137,146,144,136,134,139,121
OPM %,17%,15%,15%,12%,12%,13%,14%,14%,14%,12%,13%,13%,12%
Other Income +,12,11,12,12,13,13,14,14,16,24,16,18,17
Interest,1,2,2,1,4,3,3,1,2,2,2,2,3
Depreciation,21,21,22,23,23,23,22,27,30,32,32,29,28
Profit before tax,148,133,126,107,102,130,126,131,128,127,116,125,107
Tax %,24%,27%,26%,26%,26%,26%,26%,26%,26%,25%,26%,26%,26%
Net Profit +,113,98,93,79,76,96,94,98,95,95,87,93,80
EPS in Rs,7.08,6.13,5.86,4.97,4.75,6.04,5.88,6.13,5.96,5.98,5.44,5.83,4.99
Raw PDF,,,,,,,,,,,,,
