0,1,2,3,4,5,6,7,8,9,10,11,12
Debtor Days,31,31,31,38,44,58,55,49,54,49,49,46
Inventory Days,80,54,62,62,69,76,83,95,58,70,76,65
Days Payable,70,51,55,65,61,56,68,53,51,52,46,49
Cash Conversion Cycle,41,33,39,35,52,77,70,92,62,66,79,63
Working Capital Days,12,10,28,23,32,48,46,58,42,36,51,45
ROCE %,34%,35%,36%,41%,38%,30%,25%,21%,22%,24%,20%,20%
