0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,590","1,882","2,233","2,443","2,528","2,581","2,726","2,572","2,523","3,299","3,971","4,103","4,218"
Expenses +,"1,367","1,644","1,946","2,055","2,085","2,152","2,321","2,194","2,089","2,767","3,455","3,541","3,688"
Operating Profit,224,239,287,388,443,429,405,378,434,533,516,562,530
OPM %,14%,13%,13%,16%,18%,17%,15%,15%,17%,16%,13%,14%,13%
Other Income +,-1,1,1,21,21,19,34,49,50,43,50,69,75
Interest,36,26,6,7,4,4,3,9,5,6,11,8,9
Depreciation,38,36,39,47,53,62,63,79,74,84,91,111,120
Profit before tax,148,177,243,355,407,382,373,339,406,485,463,512,475
Tax %,32%,34%,31%,33%,34%,34%,34%,18%,26%,25%,26%,26%,
Net Profit +,101,117,168,237,270,252,246,279,302,362,344,381,354
EPS in Rs,6.84,7.72,10.60,14.92,17.00,15.87,15.47,17.54,18.97,22.76,21.63,23.95,22.24
Dividend Payout %,22%,23%,19%,17%,18%,19%,19%,17%,53%,48%,42%,50%,
