0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,323","1,489","1,016","1,072","1,204","1,670","1,816",832,"1,787","1,822","1,677","1,717","1,905"
Expenses +,"1,020",984,888,962,981,"1,399","1,310","1,074","1,376","1,310","1,185","1,170","1,231"
Operating Profit,303,505,128,110,223,271,506,-242,411,512,492,547,674
OPM %,23%,34%,13%,10%,18%,16%,28%,-29%,23%,28%,29%,32%,35%
Other Income +,257,102,67,52,27,41,37,57,35,50,96,55,74
Interest,6,2,1,3,14,26,60,62,64,30,17,17,9
Depreciation,151,174,113,119,142,165,253,291,295,150,175,175,182
Profit before tax,404,431,80,40,94,122,230,-538,87,382,396,410,557
Tax %,12%,33%,16%,5%,34%,35%,37%,6%,-26%,2%,25%,28%,
Net Profit +,356,286,68,38,62,80,146,-569,110,374,295,295,402
EPS in Rs,3.84,3.10,0.73,0.41,0.67,0.86,1.57,-6.15,1.19,3.87,3.05,3.05,4.16
Dividend Payout %,26%,32%,21%,0%,30%,29%,33%,0%,29%,30%,30%,30%,
