0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,544,545,348,212,557,560,371,381,399,565,494,518,328
Expenses +,413,393,222,148,443,374,278,260,293,340,305,366,220
Operating Profit,132,152,127,64,114,186,93,121,107,226,188,152,108
OPM %,24%,28%,36%,30%,20%,33%,25%,32%,27%,40%,38%,29%,33%
Other Income +,11,16,11,22,12,52,14,11,10,20,7,32,16
Interest,5,5,4,4,5,3,4,4,4,4,3,1,1
Depreciation,17,55,55,50,9,61,41,46,30,59,38,48,38
Profit before tax,120,109,78,32,111,174,62,83,82,183,154,135,84
Tax %,-43%,18%,27%,19%,28%,24%,24%,27%,23%,32%,26%,25%,26%
Net Profit +,172,89,57,26,80,132,47,61,63,124,113,102,63
EPS in Rs,1.78,0.92,0.59,0.27,0.83,1.37,0.49,0.63,0.65,1.29,1.17,1.05,0.65
Raw PDF,,,,,,,,,,,,,
