0,1,2,3,4,5,6,7,8,9,10,11,12,13
Revenue,18,54,104,191,305,494,710,902,"1,103","1,304","1,608","2,018","2,264"
Interest,7,30,53,97,143,193,255,356,458,478,591,828,964
Expenses +,8,14,21,43,72,161,188,225,273,349,441,535,551
Financing Profit,3,10,30,51,90,139,266,321,372,477,576,654,749
Financing Margin %,16%,18%,29%,27%,29%,28%,38%,36%,34%,37%,36%,32%,33%
Other Income +,0,0,0,0,0,1,1,1,2,1,2,3,3
Depreciation,0,0,1,1,3,6,10,20,21,24,29,33,36
Profit before tax,3,9,29,50,88,134,258,302,353,455,549,624,717
Tax %,31%,33%,34%,34%,35%,31%,32%,18%,18%,22%,22%,21%,
Net Profit +,2,6,19,33,57,93,176,249,290,357,430,491,563
EPS in Rs,0.69,2.12,5.80,8.54,9.82,13.46,22.52,31.81,36.88,45.20,54.41,62.00,71.14
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
