0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,27,30,33,38,58,69,78,78,78,79,79,79,79
Reserves,2,26,69,165,508,"1,121","1,759","2,020","2,323","2,730","3,191","3,694","3,969"
Deposits,0,0,0,0,0,0,0,0,0,0,0,0,0
Borrowings +,151,354,704,"1,447","1,793","2,755","3,653","5,382","6,378","8,012","9,887","12,398","12,479"
Other Liabilities +,7,8,47,60,91,95,137,177,181,200,254,348,357
Total Liabilities,187,418,852,"1,711","2,451","4,040","5,627","7,657","8,960","11,020","13,411","16,519","16,885"
Fixed Assets +,2,5,5,6,10,18,23,60,58,66,78,116,142
CWIP,0,0,0,0,0,0,0,1,0,2,20,11,0
Investments,0,0,0,0,1,4,4,4,4,68,123,182,208
Other Assets +,185,412,847,"1,705","2,440","4,017","5,599","7,592","8,897","10,885","13,189","16,210","16,536"
Total Assets,187,418,852,"1,711","2,451","4,040","5,627","7,657","8,960","11,020","13,411","16,519","16,885"
