0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,116.58","1,454.26","1,364.68","1,262.78","1,284.55","1,529.18","1,464.57","1,417.66","1,331.64","1,482.88","1,214.68","1,126.31","1,281.92"
Expenses +,"1,035.39","1,327.17","1,273.31","1,262.33","1,209.71","1,430.14","1,346.35","1,287.99","1,187.05","1,331.99","1,161.91","1,081.98","1,214.62"
Operating Profit,81.19,127.09,91.37,0.45,74.84,99.04,118.22,129.67,144.59,150.89,52.77,44.33,67.30
OPM %,7.27%,8.74%,6.70%,0.04%,5.83%,6.48%,8.07%,9.15%,10.86%,10.18%,4.34%,3.94%,5.25%
Other Income +,17.01,19.30,-11.00,43.07,8.35,36.54,13.26,20.93,13.23,30.37,14.98,15.03,14.20
Interest,25.40,22.11,24.70,28.24,29.77,24.29,28.89,28.75,30.41,23.07,25.87,26.13,26.71
Depreciation,45.14,45.64,42.40,43.43,43.82,57.66,50.45,54.64,52.66,55.94,52.89,53.40,50.74
Profit before tax,27.66,78.64,13.27,-28.15,9.60,53.63,52.14,67.21,74.75,102.25,-11.01,-20.17,4.05
Tax %,4.74%,27.51%,-3.77%,-39.25%,26.88%,22.23%,22.32%,29.92%,31.44%,42.04%,-16.71%,-17.40%,81.23%
Net Profit +,26.35,57.01,13.77,-17.10,7.02,41.71,40.50,47.10,51.25,59.26,-9.17,-16.66,0.76
EPS in Rs,3.42,7.40,1.79,-2.22,0.91,5.42,5.26,6.12,6.66,7.70,-1.19,-2.16,0.10
Raw PDF,,,,,,,,,,,,,
