0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,196,362,278,248,460,420,440,737,671,491,210,641
Cash from Investing Activity +,-111,-344,-8,-11,"-1,006",-130,-177,-387,-6,-186,176,-387
Cash from Financing Activity +,-62,-10,-265,-201,518,-283,-282,-379,-666,-268,-388,-265
Net Cash Flow,24,8,6,36,-29,7,-19,-29,-1,37,-2,-10
