0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,8,14,15,48,39,10,7,63,68,12,12,128,25
Expenses +,21,27,17,17,20,19,22,24,30,56,36,53,28
Operating Profit,-12,-13,-2,30,19,-9,-14,40,38,-44,-23,75,-2
OPM %,-145%,-90%,-16%,63%,48%,-90%,-191%,62%,56%,-354%,-188%,58%,-9%
Other Income +,43,297,49,258,110,134,151,221,141,304,84,144,140
Interest,13,11,12,15,16,17,18,18,22,29,25,33,30
Depreciation,3,3,3,3,4,4,3,4,3,4,4,5,4
Profit before tax,15,271,32,271,110,104,116,239,153,227,31,180,103
Tax %,-18%,12%,1%,2%,4%,9%,0%,8%,6%,12%,13%,12%,24%
Net Profit +,18,238,32,264,106,94,116,219,143,201,27,159,79
EPS in Rs,0.51,6.70,0.89,7.44,2.98,2.65,3.24,6.14,4.00,5.59,0.74,4.35,2.03
Raw PDF,,,,,,,,,,,,,
