0,1,2,3,4,5,6,7,8,9,10,11
Sales +,"3,379","5,177","5,157","6,297","7,053","6,793","5,805","7,342","8,582","8,939","8,684"
Expenses +,"2,569","4,528","4,429","5,336","6,176","5,516","4,685","6,304","7,762","7,840","7,719"
Operating Profit,810,649,728,962,877,"1,277","1,120","1,039",820,"1,100",965
OPM %,24%,13%,14%,15%,12%,19%,19%,14%,10%,12%,11%
Other Income +,112,148,11,81,80,57,83,115,-140,120,41
Interest,89,144,231,425,452,419,517,401,353,368,363
Depreciation,176,366,313,392,485,528,587,652,696,644,617
Profit before tax,656,287,196,226,19,387,99,101,-370,208,26
Tax %,33%,-74%,16%,30%,223%,36%,77%,45%,-124%,26%,
Net Profit +,438,499,166,158,-24,249,23,55,90,153,9
EPS in Rs,9.60,10.94,3.63,10.54,-1.19,10.28,0.72,1.54,2.52,4.28,0.27
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
