0,1,2,3,4,5,6,7,8,9,10
Cash from Operating Activity +,,,922,951,,"1,028","1,386",835,"1,023","1,048"
Cash from Investing Activity +,,,-513,-602,,-313,"-3,799",-209,-135,-410
Cash from Financing Activity +,,,-503,-383,,-559,"2,575",-981,-774,-733
Net Cash Flow,,,-94,-34,,156,162,-355,115,-95
