0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"2,089","1,965","1,916","1,668","1,665","1,518","1,365","1,338","1,217","1,435",969,853,822
Expenses +,"1,887","1,812","1,875","1,665","1,703","1,591","1,352","1,303","1,215","1,420",943,894,845
Operating Profit,202,153,41,3,-38,-73,13,36,2,16,25,-41,-23
OPM %,10%,8%,2%,0%,-2%,-5%,1%,3%,0%,1%,3%,-5%,-3%
Other Income +,12,17,20,11,3,3,4,9,0,5,5,4,7
Interest,119,116,114,116,117,140,150,139,140,152,153,154,155
Depreciation,84,84,89,89,89,90,88,77,77,75,75,70,73
Profit before tax,12,-29,-142,-191,-241,-300,-221,-171,-216,-207,-198,-261,-243
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Net Profit +,12,-29,-142,-191,-241,-300,-221,-171,-216,-207,-198,-261,-243
EPS in Rs,0.02,-0.06,-0.29,-0.38,-0.49,-0.60,-0.44,-0.34,-0.43,-0.42,-0.40,-0.52,-0.49
Raw PDF,,,,,,,,,,,,,
