0,1,2,3,4,5,6,7,8,9,10,11,12
Debtor Days,88,91,124,184,446,14,19,19,27,24,16,29
Inventory Days,281,183,206,303,155,25,55,59,163,95,72,87
Days Payable,42,57,84,39,51,56,129,62,181,96,115,37
Cash Conversion Cycle,327,217,246,449,551,-16,-55,16,9,22,-27,79
Working Capital Days,181,132,191,339,309,-591,-838,36,30,38,-4,51
ROCE %,13%,23%,18%,-15%,-8%,-71%,-5%,-5%,-6%,4%,-7%,-4%
