0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,40,84,192,271,129,-29,147,392,308,59,304,247
Cash from Investing Activity +,-18,-24,-20,-73,73,-66,-73,-58,-246,-7,-86,-699
Cash from Financing Activity +,-61,-8,-199,-194,-215,73,-105,-138,15,-147,-248,539
Net Cash Flow,-40,52,-27,4,-14,-22,-30,196,78,-95,-30,87
