0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,328","2,007","1,855","1,417","1,655","2,427","2,081","1,741","2,055","3,123","2,714","2,126","2,682"
Expenses +,"1,249","1,885","1,738","1,347","1,559","2,266","1,953","1,626","1,933","2,905","2,508","1,999","2,516"
Operating Profit,79,122,116,70,95,161,127,115,122,217,205,127,166
OPM %,6%,6%,6%,5%,6%,7%,6%,7%,6%,7%,8%,6%,6%
Other Income +,12,5,9,8,6,178,9,12,10,10,21,16,6
Interest,13,15,13,14,16,16,15,16,11,13,8,6,17
Depreciation,20,21,22,24,15,20,18,18,18,22,21,23,26
Profit before tax,58,91,91,41,70,302,103,94,103,192,197,114,129
Tax %,34%,35%,26%,26%,26%,28%,26%,25%,25%,25%,26%,26%,25%
Net Profit +,38,59,67,30,52,217,77,70,77,144,146,85,97
EPS in Rs,1.98,3.08,3.49,1.56,2.70,11.27,4.00,3.42,3.73,6.98,7.10,4.12,4.71
Raw PDF,,,,,,,,,,,,,
