0,1,2,3,4,5,6,7,8,9,10,11,12
Debtor Days,86,89,76,71,72,69,78,57,68,69,66,73
Inventory Days,140,125,111,78,98,166,133,133,159,143,121,98
Days Payable,207,212,201,156,187,237,221,226,267,235,208,191
Cash Conversion Cycle,18,2,-15,-7,-17,-2,-11,-35,-40,-22,-21,-20
Working Capital Days,42,52,28,11,19,35,38,20,14,25,21,26
ROCE %,12%,15%,15%,16%,17%,16%,20%,15%,9%,15%,23%,24%
