0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"111,152","129,479","146,478","137,346","125,849","129,674","122,627","137,380","127,695","146,832","129,898","130,108","124,381"
Expenses +,"97,257","114,898","125,525","125,561","110,950","110,542","105,134","118,189","110,137","126,809","115,583","116,683","109,168"
Operating Profit,"13,895","14,581","20,953","11,785","14,899","19,132","17,493","19,191","17,558","20,023","14,315","13,425","15,213"
OPM %,12%,11%,14%,9%,12%,15%,14%,14%,14%,14%,11%,10%,12%
Other Income +,"3,443","3,072","3,399","3,499","2,689","2,750","2,728","2,934","2,969","3,497","3,502","3,801","3,214"
Interest,"2,301","1,984","2,616","2,916","3,349","3,752","3,596","3,239","2,982","3,613","2,963","2,662","2,371"
Depreciation,"2,597","2,465","2,248","2,611","2,529","3,779","3,883","4,384","4,567","4,856","4,708","4,350","4,459"
Profit before tax,"12,440","13,204","19,488","9,757","11,710","14,351","12,742","14,502","12,978","15,051","10,146","10,214","11,597"
Tax %,18%,16%,23%,29%,28%,4%,24%,23%,24%,25%,25%,24%,25%
Net Profit +,"10,167","11,094","15,096","6,915","8,373","13,806","9,627","11,208","9,924","11,283","7,611","7,713","8,721"
EPS in Rs,7.52,8.20,11.16,5.11,6.19,10.20,7.11,8.28,7.33,8.34,5.62,5.70,6.44
Raw PDF,,,,,,,,,,,,,
