0,1,2,3,4,5,6,7,8,9,10,11,12
Debtor Days,12,10,5,6,8,13,12,8,6,12,16,10
Inventory Days,51,47,50,63,75,71,60,58,78,52,77,79
Days Payable,55,64,75,123,151,160,119,106,180,151,108,121
Cash Conversion Cycle,8,-6,-19,-54,-67,-76,-48,-40,-96,-87,-15,-32
Working Capital Days,-6,-7,-27,-106,-118,-136,-72,-198,-45,-44,-22,-44
ROCE %,11%,11%,10%,11%,10%,12%,11%,9%,6%,8%,10%,10%
