0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,27,30,36,21,33,65,73,64,169,232,207,334
Cash from Investing Activity +,-9,-6,-11,8,-2,-23,-55,-14,-82,-114,-67,-204
Cash from Financing Activity +,-18,-24,-24,-28,-31,-38,-20,-51,-47,-94,-157,-167
Net Cash Flow,-0,-1,-0,1,-0,4,-2,-1,39,24,-18,-37
