0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,114,100,112,123,118,98,123,164,170,185,198,248,221
Expenses +,34,34,50,45,46,42,53,61,64,71,76,93,90
Operating Profit,80,67,61,78,72,56,69,103,105,114,122,155,131
OPM %,70%,67%,55%,63%,61%,57%,56%,63%,62%,62%,62%,62%,59%
Other Income +,8,9,46,18,15,14,48,18,16,20,23,76,14
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,3,3,4,4,4,4,4,5,5,6,8,10,11
Profit before tax,85,72,104,91,83,66,112,116,116,128,136,221,134
Tax %,25%,19%,14%,25%,25%,22%,18%,24%,26%,24%,23%,23%,22%
Net Profit +,64,58,89,69,63,52,92,88,86,97,105,171,105
EPS in Rs,3.05,2.80,4.26,3.28,3.00,2.47,4.41,4.21,4.10,4.66,5.04,8.19,5.02
Raw PDF,,,,,,,,,,,,,
