0,1,2,3,4,5,6,7,8,9,10
Debtor Days,,,46,64,116,41,32,24,36,31
Inventory Days,,,,,,,,,,
Days Payable,,,,,,,,,,
Cash Conversion Cycle,,,46,64,116,41,32,24,36,31
Working Capital Days,,,"1,435","1,075",737,822,"1,250",262,-3,36
ROCE %,,0%,15%,2%,1%,2%,1%,3%,3%,2%
