0,1,2,3,4,5,6,7,8,9,10,11
Equity Capital,0.05,0.05,0.05,"6,654",39,39,37,37,37,38,38
Reserves,-0,-0,809,859,"7,541","7,603","7,463","7,956","7,811","7,762","8,021"
Borrowings +,0,0,200,2,2,19,205,5,3,5,4
Other Liabilities +,0,0,"6,817",231,100,52,72,116,96,101,154
Total Liabilities,0,0,"7,826","7,746","7,682","7,713","7,777","8,114","7,947","7,906","8,217"
Fixed Assets +,0,0,0,74,72,90,73,72,68,66,64
CWIP,0,0,0,1,7,2,1,0,0,0,0
Investments,0,0,"7,162","7,066","7,113","7,042","7,091","7,521","7,346","7,354","7,690"
Other Assets +,0,0,664,605,490,579,612,521,533,486,463
Total Assets,0,0,"7,826","7,746","7,682","7,713","7,777","8,114","7,947","7,906","8,217"
