0,1,2,3,4,5,6,7,8,9,10,11
Sales +,0,0,103,125,164,151,148,135,132,130,156
Expenses +,0,0,86,113,126,128,133,114,118,113,130
Operating Profit,0,0,17,12,38,23,15,21,14,17,26
OPM %,,,16%,10%,23%,15%,10%,16%,11%,13%,17%
Other Income +,0,0,65,91,87,143,41,184,200,115,131
Interest,0,0,21,5,2,4,11,4,3,4,4
Depreciation,0,0,4,4,4,9,11,6,6,5,6
Profit before tax,0,0,57,94,119,153,34,195,205,123,147
Tax %,,,30%,23%,15%,12%,26%,6%,5%,9%,
Net Profit +,0,0,40,72,101,135,25,183,195,112,124
EPS in Rs,0.00,0.00,"8,000.00","14,400.00",5.23,7.00,1.34,9.77,10.40,5.97,6.61
Dividend Payout %,,,0%,"7,855%",39%,29%,98%,91%,85%,153%,
