0,1,2,3,4,5,6,7,8,9,10
Cash from Operating Activity +,,,18,-198,-187,-12,40,-11,11,30
Cash from Investing Activity +,,,15,431,225,205,70,305,242,68
Cash from Financing Activity +,,,-33,-231,-31,-91,-217,-299,-174,-175
Net Cash Flow,,,0,2,7,102,-107,-5,79,-77
