0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"3,318","3,835","4,543","5,523","6,301","7,183","8,337","9,794","4,654","6,098","6,525","7,274","8,021"
Expenses +,"2,760","3,218","3,862","4,776","5,527","6,348","7,314","8,377","3,938","4,677","4,831","5,476","6,048"
Operating Profit,557,617,681,748,774,835,"1,022","1,418",715,"1,421","1,694","1,798","1,973"
OPM %,17%,16%,15%,14%,12%,12%,12%,14%,15%,23%,26%,25%,25%
Other Income +,32,20,28,4,26,7,8,173,137,131,139,180,302
Interest,73,87,83,134,200,240,268,426,340,244,239,250,260
Depreciation,109,129,158,200,241,272,300,482,421,363,367,399,435
Profit before tax,408,420,467,417,359,330,462,682,91,945,"1,228","1,329","1,581"
Tax %,24%,21%,26%,20%,21%,29%,35%,31%,-15%,30%,12%,24%,
Net Profit +,309,331,347,334,285,233,303,470,105,665,"1,085","1,010","1,202"
EPS in Rs,22.22,23.77,24.91,24.00,20.50,16.76,21.76,33.80,7.30,46.26,75.45,70.28,83.59
Dividend Payout %,25%,24%,23%,25%,29%,30%,28%,18%,41%,25%,20%,23%,
