0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,"20,757","6,424","14,533","22,025","-7,478","-6,423","-9,192","-4,834","38,063","-35,316","-5,799","-2,933"
Cash from Investing Activity +,-301,-624,-807,-427,265,-499,151,-350,-337,-835,"-1,345","-1,890"
Cash from Financing Activity +,-331,745,"1,295","4,864","3,959","6,917","7,970","-3,171","2,398","1,128",-18,"3,365"
Net Cash Flow,"20,125","6,546","15,021","26,461","-3,253",-5,"-1,071","-8,355","40,124","-35,023","-7,162","-1,458"
