0,1,2,3,4,5,6,7,8,9,10,11,12
Equity Capital,7,7,7,7,7,7,7,7,7,7,7,7
Reserves,602,720,668,816,805,802,752,688,"1,022","1,063","1,483","1,779"
Borrowings +,0,0,0,0,0,0,0,0,109,72,31,227
Other Liabilities +,291,305,318,266,305,322,353,644,360,470,523,590
Total Liabilities,900,"1,032",993,"1,089","1,116","1,131","1,112","1,339","1,498","1,612","2,044","2,603"
Fixed Assets +,84,71,59,61,51,49,39,146,185,152,119,472
CWIP,0,0,0,2,12,5,12,10,5,9,9,1
Investments,372,507,509,586,644,659,636,672,644,666,995,"1,263"
Other Assets +,444,454,425,441,410,418,425,511,664,784,920,868
Total Assets,900,"1,032",993,"1,089","1,116","1,131","1,112","1,339","1,498","1,612","2,044","2,603"
