0,1,2,3,4,5,6,7,8,9,10,11,12
Debtor Days,83,88,81,90,72,79,80,78,89,101,89,82
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,83,88,81,90,72,79,80,78,89,101,89,82
Working Capital Days,19,46,57,69,69,61,34,73,51,62,47,35
ROCE %,18%,44%,29%,30%,24%,26%,27%,25%,23%,25%,19%,11%
