0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,128,234,480,484,487,490,492,483,484,486,487,488,489
Reserves,"4,055","8,357","10,776","14,507","16,403","19,045","20,156","21,790","24,532","25,724","24,717","22,682","21,774"
Borrowings +,"1,404",309,5,228,262,255,13,481,519,617,579,468,439
Other Liabilities +,"1,671","5,840","5,755","5,676","6,580","7,041","9,682","7,568","7,840","8,733","10,252","11,026","12,045"
Total Liabilities,"7,258","14,739","17,016","20,894","23,733","26,830","30,342","30,322","33,375","35,559","36,035","34,664","34,747"
Fixed Assets +,720,"1,834","1,981","2,122","2,498","3,230","2,786","3,336","3,048","3,630","3,641","3,224","3,050"
CWIP,28,264,551,628,362,235,272,35,111,136,48,94,11
Investments,"3,808","2,294","4,088","4,976","7,716","10,258","12,961","10,649","16,552","14,532","13,320","13,214","12,342"
Other Assets +,"2,702","10,348","10,397","13,168","13,156","13,106","14,324","16,302","13,663","17,262","19,026","18,131","19,344"
Total Assets,"7,258","14,739","17,016","20,894","23,733","26,830","30,342","30,322","33,375","35,559","36,035","34,664","34,747"
