0,1,2,3,4,5,6,7,8,9
Debtor Days,,189,189,361,27,377,31,53,74
Inventory Days,,,,,,,,145,
Days Payable,,,,,,,,60,
Cash Conversion Cycle,,189,189,361,27,377,31,139,74
Working Capital Days,,"12,062",654,"2,493",397,-70,131,-31,1
ROCE %,,-2%,2%,5%,7%,9%,4%,3%,5%
