0,1,2,3,4,5,6,7,8,9
Cash from Operating Activity +,0,-24,-663,534,"1,490",-718,"1,455","5,003","-2,482"
Cash from Investing Activity +,-224,"-1,541","-2,242",185,-896,"-2,274","-12,488","-2,491","-7,393"
Cash from Financing Activity +,225,"1,571","2,937",-649,-503,"2,807","11,028","-2,013","9,754"
Net Cash Flow,0,6,31,71,91,-185,-5,499,-121
