0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,662,"1,557","1,432",328,912,"2,351","1,198",454,828,"2,044","1,740",889,"1,413"
Expenses +,622,"1,480","1,385",331,882,"2,216","1,117",444,796,"1,903","1,626",860,"1,325"
Operating Profit,40,77,47,-4,31,135,81,10,33,140,114,29,88
OPM %,6%,5%,3%,-1%,3%,6%,7%,2%,4%,7%,7%,3%,6%
Other Income +,8,9,13,12,9,14,18,10,6,23,24,22,20
Interest,10,14,18,20,23,31,37,28,29,39,42,39,44
Depreciation,20,22,23,21,24,31,32,32,34,33,34,37,38
Profit before tax,18,49,19,-33,-7,87,30,-41,-25,91,62,-24,26
Tax %,20%,34%,30%,-28%,-22%,26%,26%,-26%,-30%,28%,28%,-45%,12%
Net Profit +,14,32,13,-24,-6,65,23,-30,-18,66,44,-13,23
EPS in Rs,4.30,9.61,3.90,-7.02,-1.63,19.27,6.70,-8.95,-5.19,19.57,13.15,-3.98,6.72
Raw PDF,,,,,,,,,,,,,
