0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,821,838,"1,081",978,"1,562","1,913","2,188","3,003","2,296","3,138","5,023","4,505","6,086"
Expenses +,771,775,991,878,"1,436","1,741","2,000","2,789","2,147","2,984","4,812","4,244","5,714"
Operating Profit,50,63,90,100,126,171,189,214,149,154,211,261,371
OPM %,6%,8%,8%,10%,8%,9%,9%,7%,6%,5%,4%,6%,6%
Other Income +,7,7,7,2,8,8,9,6,30,32,46,57,90
Interest,19,28,38,48,59,47,15,30,34,37,91,132,164
Depreciation,12,17,23,28,36,43,50,61,68,80,100,130,143
Profit before tax,26,25,35,26,39,89,133,129,78,70,66,56,155
Tax %,29%,25%,28%,23%,37%,30%,30%,8%,33%,31%,26%,27%,
Net Profit +,19,19,25,20,24,62,93,118,52,48,49,41,120
EPS in Rs,10.37,8.71,11.65,9.41,10.15,19.71,29.42,37.50,15.30,14.28,14.52,12.04,35.46
Dividend Payout %,31%,0%,0%,0%,23%,0%,0%,9%,0%,0%,0%,0%,
