0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,694","1,413","1,945","1,814","1,717","1,605","2,071","1,846","1,815","1,662","2,050","1,864","1,842"
Expenses +,"1,484","1,330","1,689","1,617","1,529","1,453","1,737","1,576","1,575","1,483","1,716","1,649","1,595"
Operating Profit,210,83,256,197,188,152,334,270,240,179,334,215,247
OPM %,12%,6%,13%,11%,11%,10%,16%,15%,13%,11%,16%,12%,13%
Other Income +,9,-4,4,4,9,14,678,22,22,13,38,27,517
Interest,2,3,2,2,2,2,3,3,3,3,3,3,5
Depreciation,39,39,39,41,42,42,43,45,46,46,46,46,51
Profit before tax,178,37,218,157,153,122,966,244,213,143,323,192,707
Tax %,26%,34%,25%,25%,26%,23%,23%,26%,26%,29%,25%,32%,26%
Net Profit +,132,25,163,117,112,94,744,180,158,102,241,130,526
EPS in Rs,1.64,0.30,2.02,1.45,1.39,1.16,9.20,2.23,1.95,1.26,2.98,1.61,6.51
Raw PDF,,,,,,,,,,,,,
