0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"2,406","2,576","2,803","2,886","2,711","2,863","2,921","3,043","2,949","2,979","3,168","3,298","3,292"
Expenses +,"2,274","2,391","2,639","2,681","2,474","2,492","2,535","2,586","2,532","2,584","2,787","2,932","2,948"
Operating Profit,132,185,164,206,237,371,386,457,417,395,382,366,344
OPM %,6%,7%,6%,7%,9%,13%,13%,15%,14%,13%,12%,11%,10%
Other Income +,12,-1,2,7,2,-6,16,4,3,-40,14,20,3
Interest,54,56,51,57,65,66,69,71,65,61,61,66,75
Depreciation,109,110,111,115,117,125,121,124,127,136,132,137,141
Profit before tax,-18,18,3,41,57,173,212,266,228,159,202,183,130
Tax %,-17%,28%,27%,27%,26%,24%,25%,25%,23%,25%,26%,25%,26%
Net Profit +,-15,13,3,30,42,132,159,199,177,119,149,137,96
EPS in Rs,-3.68,3.29,0.63,7.39,10.34,32.63,39.42,49.23,43.67,29.43,36.89,33.75,23.73
Raw PDF,,,,,,,,,,,,,
