0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,557,155,705,718,344,744,533,968,"1,351",632,"1,215","1,724"
Cash from Investing Activity +,-64,-98,-259,-412,-419,-420,"-1,052","-1,128",-626,-950,-860,-874
Cash from Financing Activity +,-454,-32,-177,-340,78,-269,504,126,-728,311,-318,-868
Net Cash Flow,39,26,269,-33,3,55,-15,-34,-3,-7,37,-18
