Open,High,Low,Close,Volume
2133.4,2133.45,2132.2,2133.2,532
2132.8,2134.45,2132.0,2132.95,1083
2132.25,2134.0,2132.2,2133.5,320
2133.65,2134.05,2132.8,2132.8,214
2132.65,2133.3,2132.1,2132.1,365
2133.0,2133.0,2131.25,2131.55,892
2132.55,2133.85,2132.55,2133.8,656
2133.0,2133.05,2132.0,2132.25,569
2133.25,2133.25,2131.4,2131.55,1306
2131.5,2131.5,2130.1,2130.9,948
2127.0,2129.1,2127.0,2128.65,3482
2127.45,2127.8,2126.5,2126.55,2693
2126.5,2128.0,2126.0,2127.1,1425
2126.5,2127.55,2126.0,2127.2,1511
2127.05,2127.5,2126.0,2127.5,1875
2127.55,2127.8,2126.1,2127.8,1231
2127.85,2128.1,2126.05,2128.1,3760
2128.15,2128.7,2127.1,2127.1,832
2127.1,2128.85,2127.1,2128.85,116
2128.6,2128.95,2127.0,2127.25,777
2127.95,2128.0,2127.25,2128.0,1628
2128.35,2129.95,2128.0,2129.95,1304
2130.25,2130.95,2129.95,2130.95,496
2131.0,2131.0,2129.1,2129.1,962
2128.75,2129.85,2128.75,2129.15,281
2129.55,2129.55,2129.05,2129.05,164
2129.55,2129.55,2129.0,2129.0,354
2129.0,2130.0,2129.0,2129.55,5188
2129.45,2130.0,2129.0,2129.0,4041
2129.5,2130.0,2128.1,2130.0,7020
2129.25,2129.95,2128.0,2128.0,211
2128.0,2129.8,2127.6,2129.8,5250
2129.9,2130.0,2128.7,2129.55,610
2129.05,2131.0,2129.05,2130.0,3923
2130.2,2131.95,2129.4,2131.95,1693
2132.0,2134.0,2131.65,2133.9,2454
2134.1,2134.55,2132.95,2133.3,349
2133.25,2133.75,2131.6,2132.5,1254
2133.25,2133.75,2132.55,2132.95,224
2132.4,2132.95,2131.6,2132.35,306
2132.35,2132.35,2129.95,2130.05,868
2130.15,2132.5,2130.05,2132.5,456
2132.0,2132.8,2130.9,2132.25,530
2132.3,2132.5,2131.1,2131.1,608
2131.95,2132.4,2131.45,2132.35,186
2132.4,2133.55,2132.4,2132.95,954
2133.6,2134.55,2132.5,2134.55,745
2134.65,2134.65,2132.95,2134.0,1510
2133.9,2134.5,2132.9,2132.9,657
2132.9,2133.9,2131.9,2133.85,121
2133.2,2135.15,2133.2,2135.15,773
2135.2,2135.35,2134.75,2134.85,142
2135.35,2135.95,2134.85,2135.95,1987
2136.0,2137.0,2135.6,2136.75,1814
2136.95,2137.45,2135.8,2136.8,1401
2135.65,2137.5,2135.65,2137.5,506
2138.0,2139.7,2137.0,2139.35,1201
